Symbol,Hi to Lo TF,HHLL,Skip HTF,Skip MTF,Skip LTF,Entry Decision,Mode,Total Gain,Each Gain,MTF lookback,Volatility,Volume Confirm,Max Draw down,Exit,SL,TP
SBIN,"30m,5m,1m",1,y,y,n,breakout,scalping,~0.01% / 6.00%,~-0.01%/ 2.5%,5,~-2.5%/ 5%,L,6%,E1,0.1,0.2
RELIANCE,"30m,5m,1m",1,y,y,n,breakout,scalping,~0.01% / 6.00%,~-0.01%/ 2.5%,5,~-2.5%/ 5%,L,6%,E1,0.1,0.2
ANGELONE,"30m,5m,1m",1,y,y,n,breakout,scalping,~0.01% / 6.00%,~-0.01%/ 2.5%,5,~-2.5%/ 5%,L,6%,E1,0.1,0.2
BSE,"30m,5m,1m",1,y,y,n,breakout,scalping,~0.01% / 6.00%,~-0.01%/ 2.5%,5,~-2.5%/ 5%,L,6%,E1,0.1,0.2
INFY,"30m,5m,1m",1,y,y,n,breakout,scalping,~0.01% / 6.00%,~-0.01%/ 2.5%,5,~-2.5%/ 5%,L,6%,E1,0.1,0.2
COFORGE,"30m,5m,1m",1,y,y,n,breakout,swing,~0.01% / 6.00%,~-0.01%/ 2.5%,5,~-2.5%/ 5%,L,6%,E1,0.5,1
FACT,"30m,5m,1m",1,y,y,n,breakout,swing,~0.01% / 6.00%,~-0.01%/ 2.5%,5,~-2.5%/ 5%,L,6%,E1,0.5,1
IOC,"30m,5m,1m",1,y,y,n,breakout,swing,~0.01% / 6.00%,~-0.01%/ 2.5%,5,~-2.5%/ 5%,L,6%,E1,0.5,1
HDFCBANK,"30m,5m,1m",1,y,y,n,breakout,swing,~0.01% / 6.00%,~-0.01%/ 2.5%,5,~-2.5%/ 5%,L,6%,E1,0.5,1
BEL,"30m,5m,1m",1,y,y,n,breakout,swing,~0.01% / 6.00%,~-0.01%/ 2.5%,5,~-2.5%/ 5%,L,6%,E1,0.5,1
